station_id,fuel_code,price_eur,date
2308,95,1.465,2026-04-08
2308,dizel,1.807,2026-04-08
2309,95,1.465,2026-04-08
2309,dizel,1.807,2026-04-08
2328,95,1.465,2026-04-08
2328,dizel,1.807,2026-04-08
2313,95,1.473,2026-04-08
2313,dizel,1.463,2026-04-08
2313,KOEL,1.099,2026-04-08
2314,95,1.536,2026-04-08
2314,dizel,1.651,2026-04-08
2314,KOEL,1.233,2026-04-08
2302,95,1.616,2026-04-08
2302,dizel,1.807,2026-04-08
2302,KOEL,1.456,2026-04-08
2303,95,1.616,2026-04-08
2303,dizel,1.807,2026-04-08
2303,KOEL,1.456,2026-04-08
2304,95,1.616,2026-04-08
2304,dizel,1.807,2026-04-08
2304,100,1.688,2026-04-08
2304,KOEL,1.456,2026-04-08
2305,95,1.616,2026-04-08
2305,dizel,1.807,2026-04-08
2305,avtoplin-lpg,0.89,2026-04-08
2305,KOEL,1.456,2026-04-08
2307,95,1.616,2026-04-08
2307,dizel,1.807,2026-04-08
2307,KOEL,1.456,2026-04-08
2324,95,1.616,2026-04-08
2324,dizel,1.807,2026-04-08
2324,100,1.688,2026-04-08
2324,KOEL,1.456,2026-04-08
769,95,1.653,2026-04-08
769,dizel,1.894,2026-04-08
771,95,1.653,2026-04-08
771,dizel,1.894,2026-04-08
771,100,1.955,2026-04-08
771,dizel-premium,2.083,2026-04-08
771,KOEL,1.555,2026-04-08
773,95,1.653,2026-04-08
773,dizel,1.894,2026-04-08
773,100,1.955,2026-04-08
773,KOEL,1.555,2026-04-08
774,95,1.653,2026-04-08
774,dizel,1.894,2026-04-08
774,100,1.955,2026-04-08
775,95,1.653,2026-04-08
775,dizel,1.894,2026-04-08
775,100,1.955,2026-04-08
775,dizel-premium,2.083,2026-04-08
776,95,1.653,2026-04-08
776,dizel,1.894,2026-04-08
776,100,1.955,2026-04-08
776,KOEL,1.555,2026-04-08
779,95,1.653,2026-04-08
779,dizel,1.894,2026-04-08
779,100,1.955,2026-04-08
779,KOEL,1.555,2026-04-08
780,95,1.653,2026-04-08
780,dizel,1.894,2026-04-08
780,100,1.955,2026-04-08
780,dizel-premium,1.673,2026-04-08
780,KOEL,1.555,2026-04-08
783,95,1.653,2026-04-08
783,dizel,1.894,2026-04-08
783,100,1.955,2026-04-08
783,KOEL,1.555,2026-04-08
789,95,1.653,2026-04-08
789,dizel,1.894,2026-04-08
789,100,1.955,2026-04-08
789,dizel-premium,2.083,2026-04-08
789,avtoplin-lpg,1.048,2026-04-08
794,95,1.653,2026-04-08
794,dizel,1.894,2026-04-08
797,95,1.653,2026-04-08
797,dizel,1.894,2026-04-08
797,100,1.955,2026-04-08
797,dizel-premium,2.083,2026-04-08
797,KOEL,1.555,2026-04-08
798,95,1.653,2026-04-08
